品牌,目标消费群体,分类
曼迪菲迩,26-40岁,女装
ILOVEPRETTY,26-40岁,女装
西柚,28-45,女装
玛丝欧娜,26-40岁,女装
樱子亮金,26-40岁,女装
卡芭娜,26-40岁,女装
古姿语,26-40岁,女装
简奥,25-38岁,女装
艾诺丝·雅诗,26-40岁,女装
佳柔恋云,26-40岁,女装
CRZ,19-25岁,女装
伊慕,26-40岁,女装
马克华菲女装,19-25岁,女装
BR,不限,女装
麦购迩,26-40岁,女装
品智,26-40岁,女装
非常物语,19-25岁,女装
曼茜纱,26-40岁,女装
黛英,26-40岁,女装
百丝,20-35,女装
秀亦,26-40岁,女装
碧阳,35-55,女装
玛可曼可,26-40岁,女装
斯浓,26-40岁,女装
卖兜兜时尚,19-25岁,女装
HELENLEE,26-40岁,女装
珞莎琳,19-25岁,女装
爱莫,18-35,女装
卡布依,22-35,女装
坤斯朵丽,坤斯朵丽25-45岁  爱特蓝斯20-35岁,女装
誉相服饰,26-40岁,女装
丝考,26-40岁,女装
幻走,25-35岁,女装
多丽琦,不限,女装
特来壹美,25-45,女装
幸运四叶草,不限,女装
依步达,19-25岁,女装
蜜西娅,18-40,女装
丝格丽,26-40岁,女装
邢氏,26-40岁,女装
领姿,26-40岁,女装
娇鼎,26-40岁,女装
岱熹,26-40岁,女装
MEIFAN,26-40岁,女装
苏昔,26-40岁,女装
摩妮•卡儿,26-40岁,女装
妙采,26-40岁,女装
圣妮思,26-40岁,女装
陶玉梅,26-40岁,女装
梦至超,26-40岁,女装
妈妈和我,26-40岁,女装
缇丝丹,26-40岁,女装
琪泺,26-40岁,女装
圣加,不限,女装
恩灵,26-40岁,女装
布衣斋,26-40岁,女装
茜蒙诗,26-40岁,女装
Theme,25-35岁,女装
湘诺,18-40岁,女装
蒙美斯,26-40岁,女装
吉芬,26-40岁,女装
金潮连思,26-40岁,女装
蔡美月,26-40岁,女装
贝妮芭特,26-40岁,女装
绮丽,26-40岁,女装
红袖,25-35,女装
VERO MODA,26-40岁,女装
安娜丽丝,26-40岁,女装
名莎,26-40岁,女装
诸氏方圆,26-40岁,女装
梦芭莎,26-40岁,女装
玫瑰黛薇,26-40岁,女装
